srno;chemicalname;Synonym;chemical formula
1;Nitrogen;;
2;Carbon Dioxide;;
3;Methane;;
4;Ethane;;
5;Propane;;
6;I-Butane;;
7;N-Butane;;
8;I-Pentane;;
9;n-Pentane;;
10;N-Hexane;;
11;Water;;
12;Propylene;Propene;
13;Ethylene;Ethene;
14;Sulfur dioxide;;
15;Sulfur trioxide;;
16;Oxygen;;
17;Ethanol;;
18;none;;
19;Hydrogen Sulphide;;
20;Sulfur(s2);;S2
21;Carbon Monoxide;;
22;Hydrogen;;
23;Sulfur(s8);;S8
24;Ammonia;;NH3
25;Nitrogen Monoxide;;NO
26;Nitrogen Dioxide;;NO2
27;Nitrous Oxide;;N2O
28;Benzene;;
29;n-Octane;;
30;Sodium Hydroxide;;NaOH
31;Sodium Sulphite;;Na2SO3
32;None;;
